id,collector,location,timestamp,gender,age_group,occupation,venue_preference,price_influence,satisfaction,amenities_importance,service_quality,value_for_money,visit_frequency,annual_spending,recommendation_score
874,Surveyor B,Practice Course B,2023-10-27 00:33:00,Male,26-35 years old,Freelancer,"Resort course,Public course",4,5,2,3,5,Once a week,15535,6
875,Surveyor B,Resort Golf Course E,2023-10-27 00:34:00,Male,18-25 years old,Retiree,"Member club,Practice course",1,2,3,2,2,Once a quarter,22944,6
876,Surveyor C,Practice Course B,2023-10-27 00:35:00,Male,56-65 years old,Doctor,"Public course,Practice course,Member club",4,2,3,1,2,Once a month,45290,3
877,Surveyor B,Practice Course B,2023-10-27 00:36:00,Female,65+ years old,Technical Professional,"Practice course,Public course",1,5,2,2,2,Once a month,9164,8
878,Surveyor A,Resort Golf Course E,2023-10-27 00:37:00,Male,56-65 years old,Technical Professional,"Resort course,Member club",2,5,3,2,2,Once a week,35022,9
879,Surveyor A,Resort Golf Course E,2023-10-27 00:38:00,Male,36-45 years old,Freelancer,Member club,5,1,5,3,3,Several times per year,17438,1
880,Surveyor B,Member Golf Club C,2023-10-27 00:39:00,Male,46-55 years old,Doctor,"Practice course,Public course",3,3,5,3,5,2-3 times per month,28104,6
881,Surveyor C,Resort Golf Course E,2023-10-27 00:40:00,Female,18-25 years old,Retiree,"Resort course,Member club",4,2,4,2,3,2-3 times per month,9852,7
882,Surveyor E,Public Golf Course D,2023-10-27 00:41:00,Male,18-25 years old,Technical Professional,"Resort course,Practice course",5,1,5,3,4,2-3 times per month,11713,8
883,Surveyor E,Resort Golf Course E,2023-10-27 00:42:00,Male,26-35 years old,Teacher,"Member club,Resort course",3,5,1,3,1,Several times per year,8183,10
884,Surveyor C,Practice Course B,2023-10-27 00:43:00,Male,46-55 years old,Lawyer,Resort course,3,1,1,3,3,Once a week,36354,8
885,Surveyor D,Practice Course A,2023-10-27 00:44:00,Male,26-35 years old,Retiree,Practice course,1,5,1,4,2,Several times per year,13032,7
886,Surveyor A,Public Golf Course D,2023-10-27 00:45:00,Male,26-35 years old,Retiree,"Member club,Public course,Resort course",2,4,2,2,2,Several times per year,19275,8
887,Surveyor D,Resort Golf Course E,2023-10-27 00:46:00,Female,46-55 years old,Civil Servant,Resort course,2,5,5,5,4,Several times per year,23793,9
888,Surveyor C,Resort Golf Course E,2023-10-27 00:47:00,Male,56-65 years old,Freelancer,"Member club,Resort course",5,5,1,2,5,Once a quarter,42066,10
889,Surveyor D,Practice Course A,2023-10-27 00:48:00,Male,26-35 years old,Lawyer,Practice course,2,5,4,1,1,Once a week,23918,7
890,Surveyor C,Member Golf Club C,2023-10-27 00:49:00,Female,26-35 years old,Lawyer,"Public course,Resort course",4,3,2,3,3,2-3 times per month,10599,3
891,Surveyor E,Practice Course B,2023-10-27 00:50:00,Male,26-35 years old,Teacher,"Resort course,Practice course,Member club",2,5,4,3,5,Once a month,37771,9
892,Surveyor E,Practice Course A,2023-10-27 00:51:00,Female,36-45 years old,Lawyer,Member club,5,2,5,5,5,Once a month,18440,1
893,Surveyor D,Member Golf Club C,2023-10-27 00:52:00,Female,18-25 years old,Retiree,"Practice course,Public course",2,2,3,1,3,Once a week,16289,8
894,Surveyor D,Practice Course B,2023-10-27 00:53:00,Female,18-25 years old,Lawyer,"Practice course,Member club,Resort course",4,1,4,4,3,Once a month,48808,6
895,Surveyor A,Resort Golf Course E,2023-10-27 00:54:00,Female,26-35 years old,Civil Servant,"Resort course,Public course,Practice course",1,3,3,2,3,2-3 times per month,10161,3
896,Surveyor E,Member Golf Club C,2023-10-27 00:55:00,Female,65+ years old,Business Executive,"Public course,Member club",5,1,2,4,3,Once a week,5964,9
897,Surveyor A,Practice Course A,2023-10-27 00:56:00,Male,36-45 years old,Lawyer,"Member club,Resort course,Practice course",1,2,4,1,2,Once a week,20942,6
898,Surveyor D,Public Golf Course D,2023-10-27 00:57:00,Female,46-55 years old,Engineer,"Member club,Practice course,Public course",1,2,4,5,5,Several times per year,43369,7
899,Surveyor C,Practice Course A,2023-10-27 00:58:00,Male,56-65 years old,Technical Professional,"Public course,Member club",1,4,2,1,5,Once a week,19184,2
900,Surveyor E,Practice Course A,2023-10-27 00:59:00,Male,56-65 years old,Business Executive,Public course,3,5,2,5,2,Once a quarter,7947,1
901,Surveyor C,Public Golf Course D,2023-10-27 01:00:00,Male,46-55 years old,Business Executive,Resort course,3,2,1,4,5,Once a quarter,48275,1
902,Surveyor A,Member Golf Club C,2023-10-27 01:01:00,Male,46-55 years old,Engineer,"Member club,Practice course,Resort course",1,1,5,4,3,Once a week,49857,3
903,Surveyor A,Member Golf Club C,2023-10-27 01:02:00,Male,26-35 years old,Sales Person,Public course,5,1,4,1,1,Several times per year,11238,3
904,Surveyor B,Practice Course A,2023-10-27 01:03:00,Male,26-35 years old,Retiree,Public course,4,5,4,1,5,2-3 times per month,18156,8
905,Surveyor E,Practice Course A,2023-10-27 01:04:00,Male,18-25 years old,Retiree,"Member club,Resort course",4,5,2,3,1,2-3 times per month,7411,7
906,Surveyor E,Member Golf Club C,2023-10-27 01:05:00,Female,18-25 years old,Business Executive,Resort course,2,4,2,5,1,Once a month,20674,10
907,Surveyor A,Public Golf Course D,2023-10-27 01:06:00,Female,46-55 years old,Business Executive,Resort course,5,3,5,3,2,2-3 times per month,13308,8
908,Surveyor C,Practice Course B,2023-10-27 01:07:00,Female,65+ years old,Engineer,"Member club,Public course,Practice course",3,1,2,2,4,2-3 times per month,48171,1
909,Surveyor E,Public Golf Course D,2023-10-27 01:08:00,Female,46-55 years old,Retiree,"Resort course,Member club",1,5,3,2,5,Once a quarter,7924,4
910,Surveyor A,Resort Golf Course E,2023-10-27 01:09:00,Female,46-55 years old,Engineer,"Public course,Practice course,Resort course",2,1,3,1,2,Once a quarter,40605,8
911,Surveyor B,Practice Course A,2023-10-27 01:10:00,Male,26-35 years old,Freelancer,"Practice course,Resort course",4,5,3,4,2,2-3 times per month,5576,10
912,Surveyor D,Member Golf Club C,2023-10-27 01:11:00,Female,65+ years old,Business Executive,Public course,3,2,3,2,1,Once a quarter,19641,2
913,Surveyor E,Public Golf Course D,2023-10-27 01:12:00,Male,46-55 years old,Technical Professional,Public course,3,1,5,2,5,Once a quarter,13963,7
914,Surveyor D,Resort Golf Course E,2023-10-27 01:13:00,Female,56-65 years old,Freelancer,"Resort course,Public course",1,2,4,3,2,Once a month,29291,8
915,Surveyor C,Resort Golf Course E,2023-10-27 01:14:00,Male,46-55 years old,Engineer,"Practice course,Member club,Resort course",4,1,3,3,3,Once a month,46159,9
916,Surveyor B,Practice Course A,2023-10-27 01:15:00,Female,18-25 years old,Sales Person,Practice course,5,3,2,2,2,Once a month,37728,7
917,Surveyor E,Practice Course B,2023-10-27 01:16:00,Male,56-65 years old,Sales Person,"Practice course,Public course,Resort course",3,4,3,1,3,Once a quarter,46139,9
918,Surveyor D,Practice Course B,2023-10-27 01:17:00,Male,36-45 years old,Doctor,"Practice course,Member club",1,2,5,3,4,Once a quarter,23789,2
919,Surveyor D,Resort Golf Course E,2023-10-27 01:18:00,Female,26-35 years old,Business Executive,"Member club,Public course",5,5,2,2,3,Once a week,44651,1
920,Surveyor A,Public Golf Course D,2023-10-27 01:19:00,Male,65+ years old,Teacher,"Public course,Member club,Resort course",4,3,3,4,3,Once a quarter,32899,1
921,Surveyor D,Resort Golf Course E,2023-10-27 01:20:00,Male,46-55 years old,Sales Person,"Practice course,Public course,Resort course",3,1,4,3,1,2-3 times per month,20658,4
922,Surveyor C,Practice Course A,2023-10-27 01:21:00,Female,46-55 years old,Freelancer,"Practice course,Resort course",5,2,2,2,2,Once a quarter,43907,1
923,Surveyor D,Practice Course A,2023-10-27 01:22:00,Male,56-65 years old,Doctor,"Public course,Practice course,Resort course",5,1,2,5,4,Once a month,19184,7
924,Surveyor C,Practice Course B,2023-10-27 01:23:00,Male,36-45 years old,Civil Servant,Resort course,5,1,4,3,2,Once a quarter,36747,8
925,Surveyor C,Resort Golf Course E,2023-10-27 01:24:00,Female,36-45 years old,Teacher,"Resort course,Practice course,Member club",3,1,2,5,3,2-3 times per month,17965,3
926,Surveyor A,Member Golf Club C,2023-10-27 01:25:00,Female,18-25 years old,Teacher,"Resort course,Public course,Member club",3,4,3,3,3,Once a month,15493,1
927,Surveyor B,Member Golf Club C,2023-10-27 01:26:00,Female,46-55 years old,Retiree,"Public course,Member club",2,4,2,3,2,Once a month,31178,3
928,Surveyor C,Public Golf Course D,2023-10-27 01:27:00,Female,56-65 years old,Doctor,"Member club,Public course,Resort course",4,5,3,5,4,Once a month,38887,2
929,Surveyor D,Public Golf Course D,2023-10-27 01:28:00,Female,56-65 years old,Doctor,Public course,1,2,4,1,4,Several times per year,7214,6
930,Surveyor D,Practice Course B,2023-10-27 01:29:00,Male,46-55 years old,Retiree,Public course,5,3,1,2,1,Once a week,13000,7
931,Surveyor C,Practice Course A,2023-10-27 01:30:00,Male,46-55 years old,Lawyer,"Public course,Resort course",2,3,4,1,3,Once a month,13065,9
932,Surveyor D,Member Golf Club C,2023-10-27 01:31:00,Female,56-65 years old,Teacher,"Public course,Resort course",1,3,3,1,3,Once a quarter,47871,5
933,Surveyor E,Member Golf Club C,2023-10-27 01:32:00,Female,26-35 years old,Business Executive,"Member club,Practice course",2,1,5,2,1,Once a week,6085,4
934,Surveyor A,Member Golf Club C,2023-10-27 01:33:00,Male,36-45 years old,Business Executive,"Practice course,Resort course,Public course",3,4,4,4,2,2-3 times per month,8532,1
935,Surveyor D,Member Golf Club C,2023-10-27 01:34:00,Female,26-35 years old,Engineer,Member club,5,2,5,1,3,Once a quarter,22622,6
936,Surveyor A,Practice Course B,2023-10-27 01:35:00,Male,65+ years old,Sales Person,Member club,1,1,5,1,2,Once a quarter,9834,8
937,Surveyor C,Resort Golf Course E,2023-10-27 01:36:00,Male,18-25 years old,Sales Person,"Practice course,Public course",1,4,3,1,4,Once a quarter,25197,4
938,Surveyor C,Member Golf Club C,2023-10-27 01:37:00,Male,56-65 years old,Engineer,"Resort course,Member club",1,4,3,4,5,Once a week,17008,1
939,Surveyor C,Practice Course A,2023-10-27 01:38:00,Female,65+ years old,Civil Servant,"Member club,Practice course,Resort course",1,2,1,3,1,Once a month,17962,5
940,Surveyor A,Member Golf Club C,2023-10-27 01:39:00,Female,65+ years old,Lawyer,"Public course,Member club,Resort course",1,2,2,5,3,2-3 times per month,13012,10
941,Surveyor D,Public Golf Course D,2023-10-27 01:40:00,Male,46-55 years old,Lawyer,"Practice course,Public course,Resort course",2,2,4,5,1,Several times per year,25166,5
942,Surveyor E,Practice Course A,2023-10-27 01:41:00,Male,26-35 years old,Business Executive,Resort course,5,1,3,4,4,2-3 times per month,23628,2
943,Surveyor A,Resort Golf Course E,2023-10-27 01:42:00,Female,46-55 years old,Teacher,"Member club,Public course",3,5,4,1,4,Several times per year,14849,6
944,Surveyor E,Member Golf Club C,2023-10-27 01:43:00,Male,26-35 years old,Civil Servant,Practice course,3,2,5,5,4,2-3 times per month,46372,10
945,Surveyor D,Practice Course B,2023-10-27 01:44:00,Male,26-35 years old,Lawyer,"Public course,Resort course,Member club",3,5,2,4,4,Several times per year,18767,9
946,Surveyor D,Practice Course B,2023-10-27 01:45:00,Male,36-45 years old,Business Executive,Practice course,3,1,1,2,5,Once a month,20111,6
947,Surveyor A,Member Golf Club C,2023-10-27 01:46:00,Male,36-45 years old,Technical Professional,"Public course,Resort course,Practice course",2,5,4,5,2,2-3 times per month,44989,8
948,Surveyor B,Public Golf Course D,2023-10-27 01:47:00,Male,46-55 years old,Sales Person,"Member club,Public course",4,3,2,2,2,Once a quarter,45582,10
949,Surveyor E,Practice Course B,2023-10-27 01:48:00,Female,36-45 years old,Teacher,Resort course,5,5,1,1,5,Once a week,49370,3
950,Surveyor C,Practice Course A,2023-10-27 01:49:00,Male,26-35 years old,Engineer,"Public course,Member club",1,2,4,5,2,2-3 times per month,38891,10
951,Surveyor E,Public Golf Course D,2023-10-27 01:50:00,Male,65+ years old,Lawyer,"Public course,Practice course,Resort course",4,1,2,4,4,Once a week,26565,2
952,Surveyor D,Resort Golf Course E,2023-10-27 01:51:00,Male,36-45 years old,Doctor,"Public course,Resort course,Member club",3,2,3,3,2,Once a month,40011,4
953,Surveyor D,Resort Golf Course E,2023-10-27 01:52:00,Male,26-35 years old,Civil Servant,Public course,4,3,4,5,1,Once a week,7589,9
954,Surveyor A,Practice Course B,2023-10-27 01:53:00,Female,46-55 years old,Engineer,Practice course,5,2,2,5,2,Once a week,47738,9
955,Surveyor B,Public Golf Course D,2023-10-27 01:54:00,Male,56-65 years old,Civil Servant,"Practice course,Member club,Resort course",1,2,1,5,1,2-3 times per month,49482,3
956,Surveyor C,Practice Course B,2023-10-27 01:55:00,Male,46-55 years old,Doctor,Public course,1,2,2,5,3,Once a month,14749,1
957,Surveyor E,Resort Golf Course E,2023-10-27 01:56:00,Female,18-25 years old,Technical Professional,Practice course,5,4,3,4,1,2-3 times per month,27683,1
958,Surveyor B,Practice Course B,2023-10-27 01:57:00,Male,65+ years old,Sales Person,Public course,5,3,4,4,1,2-3 times per month,9501,4
959,Surveyor C,Public Golf Course D,2023-10-27 01:58:00,Male,56-65 years old,Freelancer,"Public course,Practice course",3,2,4,3,4,Several times per year,28423,4
960,Surveyor D,Member Golf Club C,2023-10-27 01:59:00,Female,26-35 years old,Doctor,"Public course,Member club",1,2,4,4,4,Once a week,24157,10
961,Surveyor D,Resort Golf Course E,2023-10-27 02:00:00,Male,65+ years old,Civil Servant,"Public course,Resort course,Member club",4,2,3,4,4,Once a quarter,24169,6
962,Surveyor A,Member Golf Club C,2023-10-27 02:01:00,Female,65+ years old,Retiree,Public course,2,1,1,1,1,2-3 times per month,28324,5
963,Surveyor A,Public Golf Course D,2023-10-27 02:02:00,Male,18-25 years old,Business Executive,"Resort course,Public course",2,4,4,1,5,Once a quarter,6706,6
964,Surveyor E,Resort Golf Course E,2023-10-27 02:03:00,Female,46-55 years old,Civil Servant,"Public course,Member club,Resort course",5,1,1,2,4,Several times per year,33219,10
965,Surveyor B,Practice Course B,2023-10-27 02:04:00,Female,65+ years old,Retiree,Member club,3,4,2,3,4,Several times per year,46334,7
966,Surveyor B,Practice Course B,2023-10-27 02:05:00,Female,18-25 years old,Civil Servant,"Public course,Practice course,Member club",2,2,1,1,1,Several times per year,6612,7
967,Surveyor C,Practice Course B,2023-10-27 02:06:00,Male,46-55 years old,Teacher,Member club,1,3,1,3,3,Once a month,21838,10
968,Surveyor E,Resort Golf Course E,2023-10-27 02:07:00,Female,56-65 years old,Teacher,"Resort course,Practice course",5,5,4,3,3,Several times per year,42065,10
969,Surveyor A,Resort Golf Course E,2023-10-27 02:08:00,Female,36-45 years old,Doctor,Member club,4,5,5,5,2,2-3 times per month,35427,9
970,Surveyor E,Practice Course B,2023-10-27 02:09:00,Female,36-45 years old,Lawyer,"Public course,Member club,Resort course",5,2,5,3,3,Once a month,20546,6
971,Surveyor D,Practice Course B,2023-10-27 02:10:00,Male,46-55 years old,Technical Professional,Member club,4,1,3,5,4,Once a quarter,14045,8
972,Surveyor A,Member Golf Club C,2023-10-27 02:11:00,Male,18-25 years old,Technical Professional,"Resort course,Practice course,Member club",5,3,3,2,5,Once a quarter,30299,2
973,Surveyor B,Resort Golf Course E,2023-10-27 02:12:00,Female,46-55 years old,Business Executive,"Member club,Resort course",5,4,5,2,2,2-3 times per month,6391,8
974,Surveyor A,Practice Course B,2023-10-27 02:13:00,Female,46-55 years old,Business Executive,"Public course,Practice course,Resort course",5,2,2,2,5,2-3 times per month,48347,9
975,Surveyor D,Public Golf Course D,2023-10-27 02:14:00,Male,65+ years old,Retiree,"Resort course,Practice course",4,3,4,5,5,Several times per year,46221,4
976,Surveyor A,Practice Course B,2023-10-27 02:15:00,Male,46-55 years old,Business Executive,"Resort course,Member club",4,3,4,5,4,Once a week,45776,5
977,Surveyor B,Resort Golf Course E,2023-10-27 02:16:00,Male,46-55 years old,Engineer,"Resort course,Public course",5,4,2,2,1,2-3 times per month,37667,5
978,Surveyor D,Practice Course B,2023-10-27 02:17:00,Female,18-25 years old,Business Executive,"Public course,Resort course,Practice course",2,3,2,5,1,Several times per year,20948,2
979,Surveyor C,Member Golf Club C,2023-10-27 02:18:00,Female,46-55 years old,Lawyer,Resort course,3,1,5,4,1,Several times per year,30118,5
980,Surveyor E,Practice Course A,2023-10-27 02:19:00,Male,36-45 years old,Teacher,"Public course,Practice course",3,1,3,4,3,Once a week,43193,9
981,Surveyor C,Resort Golf Course E,2023-10-27 02:20:00,Female,36-45 years old,Business Executive,"Public course,Practice course",3,1,2,5,1,2-3 times per month,19157,4
982,Surveyor D,Resort Golf Course E,2023-10-27 02:21:00,Male,26-35 years old,Freelancer,"Member club,Public course",4,3,3,5,4,Once a quarter,22021,10
983,Surveyor D,Practice Course A,2023-10-27 02:22:00,Male,36-45 years old,Freelancer,"Member club,Public course,Resort course",4,1,1,1,3,Once a week,13356,3
984,Surveyor D,Practice Course B,2023-10-27 02:23:00,Female,36-45 years old,Engineer,"Public course,Resort course",2,4,4,1,1,Several times per year,40573,7
985,Surveyor B,Member Golf Club C,2023-10-27 02:24:00,Male,36-45 years old,Freelancer,"Member club,Public course,Resort course",3,3,5,3,5,Once a week,6223,8
986,Surveyor D,Practice Course B,2023-10-27 02:25:00,Male,46-55 years old,Doctor,Practice course,3,5,4,3,4,2-3 times per month,41110,10
987,Surveyor E,Practice Course A,2023-10-27 02:26:00,Male,26-35 years old,Teacher,Resort course,5,3,5,3,4,Once a quarter,29626,6
988,Surveyor B,Member Golf Club C,2023-10-27 02:27:00,Male,26-35 years old,Business Executive,"Resort course,Practice course,Public course",4,4,1,2,2,Once a month,35917,6
989,Surveyor D,Public Golf Course D,2023-10-27 02:28:00,Male,26-35 years old,Civil Servant,"Public course,Member club",3,5,4,4,4,Several times per year,26526,5
990,Surveyor B,Public Golf Course D,2023-10-27 02:29:00,Male,56-65 years old,Technical Professional,"Practice course,Member club,Resort course",2,3,1,2,5,2-3 times per month,13856,6
991,Surveyor E,Member Golf Club C,2023-10-27 02:30:00,Female,65+ years old,Technical Professional,Practice course,2,1,5,5,4,Several times per year,43829,9
992,Surveyor E,Public Golf Course D,2023-10-27 02:31:00,Female,56-65 years old,Engineer,Resort course,3,2,2,1,2,Once a month,18532,2
993,Surveyor B,Member Golf Club C,2023-10-27 02:32:00,Male,56-65 years old,Engineer,"Practice course,Public course,Resort course",4,2,4,5,4,Once a month,25745,10
994,Surveyor A,Practice Course B,2023-10-27 02:33:00,Female,56-65 years old,Sales Person,Practice course,2,1,1,5,4,Once a quarter,25336,3
995,Surveyor C,Practice Course B,2023-10-27 02:34:00,Female,26-35 years old,Teacher,"Resort course,Practice course",5,2,4,1,2,Once a week,35796,1
996,Surveyor D,Practice Course A,2023-10-27 02:35:00,Female,18-25 years old,Civil Servant,Resort course,2,2,4,5,4,Once a month,32167,4
997,Surveyor C,Practice Course B,2023-10-27 02:36:00,Female,46-55 years old,Retiree,"Practice course,Resort course,Member club",1,1,4,3,3,2-3 times per month,5880,2
998,Surveyor E,Practice Course B,2023-10-27 02:37:00,Male,36-45 years old,Business Executive,"Resort course,Practice course",1,1,3,1,4,Once a week,21818,6
999,Surveyor C,Practice Course A,2023-10-27 02:38:00,Female,18-25 years old,Doctor,"Member club,Public course",4,3,1,5,1,Once a week,43892,1
1000,Surveyor A,Resort Golf Course E,2023-10-27 02:39:00,Male,26-35 years old,Lawyer,Practice course,3,3,1,3,1,Once a quarter,29488,8
1001,Surveyor C,Resort Golf Course E,2023-10-27 02:40:00,Male,18-25 years old,Sales Person,Practice course,4,1,4,3,3,2-3 times per month,42952,10
1002,Surveyor C,Member Golf Club C,2023-10-27 02:41:00,Male,65+ years old,Lawyer,"Resort course,Member club",4,4,2,4,4,2-3 times per month,23368,6
1003,Surveyor E,Resort Golf Course E,2023-10-27 02:42:00,Male,26-35 years old,Retiree,"Resort course,Public course,Member club",4,2,4,3,5,Once a week,34028,9
1004,Surveyor E,Resort Golf Course E,2023-10-27 02:43:00,Female,18-25 years old,Freelancer,"Practice course,Public course",4,3,3,2,4,Once a quarter,18223,6
1005,Surveyor D,Resort Golf Course E,2023-10-27 02:44:00,Male,56-65 years old,Freelancer,Resort course,5,2,5,1,1,Once a month,36395,10
1006,Surveyor B,Practice Course B,2023-10-27 02:45:00,Male,65+ years old,Sales Person,"Public course,Member club,Resort course",5,5,3,1,2,Several times per year,35261,7
1007,Surveyor D,Resort Golf Course E,2023-10-27 02:46:00,Male,56-65 years old,Lawyer,"Resort course,Public course",2,1,2,1,3,Once a week,14984,5
1008,Surveyor E,Practice Course B,2023-10-27 02:47:00,Female,18-25 years old,Retiree,"Practice course,Member club,Resort course",1,4,4,5,2,Once a week,7798,8
1009,Surveyor D,Practice Course B,2023-10-27 02:48:00,Male,36-45 years old,Civil Servant,Practice course,4,5,1,5,5,Once a week,12603,8
1010,Surveyor C,Practice Course A,2023-10-27 02:49:00,Female,18-25 years old,Technical Professional,"Public course,Member club",2,5,4,2,4,Once a month,16704,10
1011,Surveyor C,Member Golf Club C,2023-10-27 02:50:00,Male,56-65 years old,Civil Servant,Public course,1,5,2,3,5,Once a month,39261,9
1012,Surveyor E,Practice Course A,2023-10-27 02:51:00,Female,36-45 years old,Retiree,Practice course,3,1,1,5,2,2-3 times per month,20707,6
1013,Surveyor E,Public Golf Course D,2023-10-27 02:52:00,Female,46-55 years old,Retiree,"Practice course,Public course,Resort course",5,3,3,3,4,Once a quarter,23009,1
1014,Surveyor D,Practice Course B,2023-10-27 02:53:00,Male,26-35 years old,Engineer,Resort course,1,1,5,3,5,Once a month,23231,9
1015,Surveyor D,Resort Golf Course E,2023-10-27 02:54:00,Female,36-45 years old,Doctor,"Resort course,Public course,Member club",3,3,5,5,1,2-3 times per month,8246,3
1016,Surveyor C,Resort Golf Course E,2023-10-27 02:55:00,Male,26-35 years old,Civil Servant,Resort course,1,5,4,5,1,Once a quarter,34825,9
1017,Surveyor B,Public Golf Course D,2023-10-27 02:56:00,Male,46-55 years old,Engineer,Public course,5,5,3,2,3,Once a month,20925,7
1018,Surveyor B,Member Golf Club C,2023-10-27 02:57:00,Female,36-45 years old,Business Executive,Resort course,5,4,2,4,1,Once a month,6316,3
1019,Surveyor E,Practice Course B,2023-10-27 02:58:00,Female,26-35 years old,Teacher,"Public course,Practice course",2,3,5,1,1,Once a month,23334,9
1020,Surveyor D,Public Golf Course D,2023-10-27 02:59:00,Female,26-35 years old,Teacher,"Public course,Member club",4,5,3,5,2,2-3 times per month,36072,7
1021,Surveyor B,Public Golf Course D,2023-10-27 03:00:00,Male,46-55 years old,Engineer,Member club,1,2,4,5,1,2-3 times per month,7026,7
1022,Surveyor D,Public Golf Course D,2023-10-27 03:01:00,Male,36-45 years old,Civil Servant,Resort course,1,4,1,3,1,Several times per year,6547,7
1023,Surveyor A,Practice Course B,2023-10-27 03:02:00,Male,26-35 years old,Business Executive,"Member club,Public course",3,1,4,4,2,Once a quarter,20289,2
1024,Surveyor C,Practice Course B,2023-10-27 03:03:00,Female,56-65 years old,Civil Servant,"Public course,Resort course,Member club",5,4,4,5,1,Several times per year,41546,4
1025,Surveyor D,Practice Course B,2023-10-27 03:04:00,Female,18-25 years old,Sales Person,"Member club,Public course,Practice course",1,2,3,4,1,Once a week,44279,10
1026,Surveyor D,Practice Course B,2023-10-27 03:05:00,Female,26-35 years old,Lawyer,Member club,5,3,5,1,3,Once a month,27169,8
1027,Surveyor D,Practice Course A,2023-10-27 03:06:00,Female,18-25 years old,Lawyer,Member club,1,1,3,3,1,2-3 times per month,45525,2
1028,Surveyor B,Public Golf Course D,2023-10-27 03:07:00,Female,56-65 years old,Freelancer,"Member club,Resort course,Public course",2,1,1,2,1,2-3 times per month,25107,4
1029,Surveyor D,Practice Course A,2023-10-27 03:08:00,Male,18-25 years old,Civil Servant,"Practice course,Member club,Resort course",4,3,3,1,3,Once a week,39291,10
1030,Surveyor A,Member Golf Club C,2023-10-27 03:09:00,Male,56-65 years old,Technical Professional,Member club,1,4,2,4,2,Once a week,32279,8
1031,Surveyor B,Public Golf Course D,2023-10-27 03:10:00,Female,65+ years old,Doctor,"Practice course,Public course",5,5,4,4,1,Once a quarter,23356,3
1032,Surveyor E,Practice Course B,2023-10-27 03:11:00,Male,65+ years old,Sales Person,Practice course,2,4,5,1,5,2-3 times per month,35043,6
1033,Surveyor E,Practice Course B,2023-10-27 03:12:00,Female,26-35 years old,Sales Person,Public course,1,2,1,4,2,2-3 times per month,34966,2
1034,Surveyor C,Practice Course B,2023-10-27 03:13:00,Female,36-45 years old,Business Executive,"Practice course,Member club,Public course",3,5,4,2,2,Once a quarter,17795,8
1035,Surveyor A,Practice Course A,2023-10-27 03:14:00,Female,56-65 years old,Retiree,Practice course,4,4,3,2,1,Once a quarter,22000,8
1036,Surveyor D,Practice Course B,2023-10-27 03:15:00,Female,46-55 years old,Civil Servant,Public course,1,3,2,4,3,Several times per year,25899,1
1037,Surveyor A,Public Golf Course D,2023-10-27 03:16:00,Male,46-55 years old,Business Executive,Practice course,2,2,3,4,2,2-3 times per month,26575,3
1038,Surveyor E,Resort Golf Course E,2023-10-27 03:17:00,Female,26-35 years old,Sales Person,"Public course,Member club,Resort course",3,2,4,2,3,Once a month,27158,2
1039,Surveyor D,Public Golf Course D,2023-10-27 03:18:00,Female,26-35 years old,Technical Professional,"Resort course,Public course",2,2,1,4,5,2-3 times per month,24005,7
1040,Surveyor A,Member Golf Club C,2023-10-27 03:19:00,Female,18-25 years old,Technical Professional,Member club,2,5,5,5,3,Once a quarter,23477,7
1041,Surveyor B,Public Golf Course D,2023-10-27 03:20:00,Female,26-35 years old,Lawyer,Resort course,3,1,4,3,4,Several times per year,24560,4
1042,Surveyor D,Practice Course B,2023-10-27 03:21:00,Male,56-65 years old,Civil Servant,"Public course,Practice course",2,5,1,5,3,Once a week,30708,8
1043,Surveyor B,Public Golf Course D,2023-10-27 03:22:00,Female,65+ years old,Teacher,"Practice course,Member club,Public course",3,4,4,4,2,Several times per year,45252,3
1044,Surveyor A,Public Golf Course D,2023-10-27 03:23:00,Female,18-25 years old,Freelancer,"Resort course,Practice course,Public course",1,1,2,4,3,Once a quarter,24954,9
1045,Surveyor D,Practice Course A,2023-10-27 03:24:00,Female,18-25 years old,Business Executive,Member club,3,4,3,3,3,Several times per year,35635,5
1046,Surveyor C,Resort Golf Course E,2023-10-27 03:25:00,Male,18-25 years old,Civil Servant,"Public course,Resort course,Practice course",3,1,5,4,4,Once a month,23530,2
1047,Surveyor C,Public Golf Course D,2023-10-27 03:26:00,Male,36-45 years old,Teacher,"Public course,Practice course",4,5,1,3,4,Once a quarter,5705,9
1048,Surveyor E,Member Golf Club C,2023-10-27 03:27:00,Male,26-35 years old,Engineer,"Practice course,Public course",3,2,5,2,1,Once a week,41580,1
1049,Surveyor D,Public Golf Course D,2023-10-27 03:28:00,Male,56-65 years old,Civil Servant,"Public course,Practice course",3,3,5,3,2,Once a week,32046,8
1050,Surveyor A,Resort Golf Course E,2023-10-27 03:29:00,Male,18-25 years old,Technical Professional,"Member club,Practice course",1,2,5,3,1,Several times per year,49420,6
1051,Surveyor C,Resort Golf Course E,2023-10-27 03:30:00,Male,46-55 years old,Retiree,Practice course,4,5,1,5,4,2-3 times per month,25152,1
1052,Surveyor E,Resort Golf Course E,2023-10-27 03:31:00,Female,56-65 years old,Civil Servant,"Resort course,Practice course",5,1,1,4,3,2-3 times per month,36855,4
1053,Surveyor D,Resort Golf Course E,2023-10-27 03:32:00,Female,36-45 years old,Technical Professional,"Resort course,Member club",1,2,5,2,4,Several times per year,7319,3
